tech_id,tech_name,level,skills,work_start_h,lunch_start_h,lunch_end_h,work_end_h,on_call,work_days
Tech_37,João Pinto,Senior,Exchange;Active Directory;Backup & Recovery;SQL Server;Nginx,7.0,11.0,12.0,16.0,1,0;1;2;3;4
Tech_38,Ricardo Martins,Junior,SharePoint;Patch Management;Backup & Recovery,10.0,14.0,15.0,19.0,0,4;5;6;0;1
Tech_39,Sofia Silva,Mid,Active Directory;Linux Administration;SharePoint;Backup & Recovery,9.0,13.0,14.0,18.0,1,0;1;2;3;4
Tech_40,João Dias,Junior,Nginx;Patch Management;Security Hardening,9.0,13.0,14.0,18.0,0,0;1;2;3;4
Tech_41,Carla Ferreira,Mid,Security Hardening;SharePoint;Nginx;Firewall Mgmt,7.0,11.0,12.0,16.0,0,0;1;2;3;4
Tech_42,Miguel Carvalho,Mid,Exchange;Firewall Mgmt;SQL Server;Windows Server,9.0,13.0,14.0,18.0,1,0;1;2;3;4
Tech_43,Joana Carvalho,Senior,Patch Management;Linux Administration;Backup & Recovery;IIS;SharePoint,9.0,13.0,14.0,18.0,1,0;1;2;3;4
Tech_44,João Carvalho,Mid,IIS;Patch Management;Exchange;SQL Server,7.0,11.0,12.0,16.0,0,0;1;2;3;4
Tech_45,Diogo Santos,Senior,Patch Management;Windows Server;Exchange;SQL Server;Active Directory,9.0,13.0,14.0,18.0,1,0;1;2;3;4
Tech_46,Diana Ferreira,Senior,IIS;SharePoint;Windows Server;SQL Server;Security Hardening,10.0,14.0,15.0,19.0,1,4;5;6;0;1
Tech_47,Hugo Carvalho,Junior,Firewall Mgmt;Linux Administration;Backup & Recovery,9.0,13.0,14.0,18.0,0,0;1;2;3;4
Tech_48,Diogo Gomes,Mid,SharePoint;Patch Management;SQL Server;Firewall Mgmt,9.0,13.0,14.0,18.0,0,0;1;2;3;4
Tech_49,Cátia Rodrigues,Senior,SQL Server;Exchange;IIS;Windows Server;Patch Management,9.0,13.0,14.0,18.0,1,0;1;2;3;4
Tech_50,Hugo Pinto,Junior,Patch Management;IIS;Firewall Mgmt,10.0,14.0,15.0,19.0,0,4;5;6;0;1
